id;documento
1;O monitoramento de praias da UDESC em Laguna analisa sistematicamente a ocorrência de mamíferos marinhos na costa de Santa Catarina.
2;A equipe técnica do laboratório realiza a estimativa de idade de tartarugas marinhas e cetáceos através de análises morfológicas dos dentes.
3;A revisão de uma estimativa de idade corrigiu o registro de um golfinho de 6 anos para 1,5 anos após identificar um Growth Layer Group completo e quatro linhas acessórias.
4;Pesquisadores avaliam a organização trabecular óssea em diferentes espécies de pinípedes para entender a adaptação ao mergulho profundo.
5;O projeto de monitoramento busca mitigar os impactos da poluição costeira e do lixo marinho sobre as populações de toninhas na região sul.
6;Análises microbiológicas em tecidos de aves marinhas encontradas em praias catarinenses identificaram a presença de patógenos fúngicos e bacterianos.
7;A presença de microplásticos no trato digestório de tartarugas-verdes indica um alto índice de contaminação antrópica na plataforma continental.
8;O protocolo de necropsia de mamíferos marinhos segue diretrizes internacionais para determinar a causa da morte dos animais encalhados.
9;Técnicas de genética molecular ajudam na identificação de populações isoladas de baleias-francas que visitam o litoral de Santa Catarina durante o inverno.
10;O monitoramento de encalhes de pinípedes na Ilha dos Lobos fornece dados valiosos sobre a saúde ecológica das colônias de leões-marinhos.
11;Pesquisas indicam que a poluição por efluentes domésticos e industriais afeta diretamente a saúde das comunidades bentônicas em estuários.
12;A coleta sistemática de dados biométricos permite traçar o perfil demográfico das populações de golfinhos-nariz-de-garrafa na Lagoa de Santo Antônio.
13;A taxidermia de aves marinhas é uma ferramenta pedagógica e científica utilizada pela UDESC para preservação de acervos zoológicos regionais.
14;Estudos de ecologia trófica utilizam isótopos estáveis para mapear a dieta alimentar de predadores de topo na cadeia alimentar marinha.
15;A degradação de habitats costeiros pelo desenvolvimento urbano acelerado ameaça diretamente as áreas de reprodução de aves migratórias.
16;A presença de parasitas helmintos em amostras de estômago de botos-da-tainha revela aspectos importantes sobre a sanidade da espécie.
17;Webinários sobre gestão costeira discutem estratégias globais para mitigar os impactos das mudanças climáticas na erosão das praias.
18;O monitoramento sistemático da temperatura da água do mar auxilia na previsão de eventos de branqueamento de corais e mortalidade de fauna.
19;A análise de contaminantes químicos no tecido adiposo de cetáceos indica bioacumulação de metais pesados ao longo da costa brasileira.
20;Campanhas de conscientização ambiental em Laguna buscam reduzir o descarte inadequado de redes de pesca que causam emaranhamento de animais.
21;A identificação de marcas de interação com redes de pesca em carcaças de tartarugas comprova o impacto da pesca incidental na região.
22;Estudos de bioacústica marinha registram os padrões de comunicação de baleias-jubarte para identificar rotas de migração oceânica.
23;O mapeamento de pradarias de capim-marinho revela a importância desses ecossistemas como berçários naturais para diversas espécies de peixes.
24;A análise macroscópica de órgãos internos durante a necropsia ajuda a identificar infecções severas causadas por morbilivírus em golfinhos.
25;Programas de reabilitação de fauna marinha buscam estabilizar animais debilitados para devolvê-los ao seu habitat natural em segurança.
26;O monitoramento da qualidade da água em áreas de cultivo de moluscos protege a saúde pública e garante a sustentabilidade econômica.
27;A ocorrência sazonal de pinguins-de-magalhães na costa sul do Brasil está fortemente associada às correntes oceanográficas frias das Malvinas.
28;Pesquisas sobre o impacto do tráfego de embarcações indicam alterações no comportamento de mergulho e descanso de botos residentes.
29;O exame osteológico de esqueletos de baleias depositados em museus fornece pistas valiosas sobre a evolução morfológica dos cetáceos.
30;A integração de dados do projeto de monitoramento de praias em plataformas digitais facilita a formulação de políticas públicas ambientais.
